Entity,Code,Year,Rapeseed | 00000270 || Production | 005510 || tonnes
Central Asia (FAO),,1995,11651
Central Asia (FAO),,1996,5282
Central Asia (FAO),,1997,6509
Central Asia (FAO),,1998,4817
Central Asia (FAO),,1999,13101
Central Asia (FAO),,2000,5045
Central Asia (FAO),,2001,7053
Central Asia (FAO),,2002,3883
Central Asia (FAO),,2003,9482
Central Asia (FAO),,2004,7004
Central Asia (FAO),,2005,32638
Central Asia (FAO),,2006,65880
Central Asia (FAO),,2007,120373
Central Asia (FAO),,2008,84409
Central Asia (FAO),,2009,109054
Central Asia (FAO),,2010,110921
Central Asia (FAO),,2011,150148
Central Asia (FAO),,2012,118387
Central Asia (FAO),,2013,243329
Central Asia (FAO),,2014,242734
Central Asia (FAO),,2015,139492
Central Asia (FAO),,2016,171184
Central Asia (FAO),,2017,280596
Central Asia (FAO),,2018,395931
Central Asia (FAO),,2019,242281
Central Asia (FAO),,2020,154671
Chile,CHL,1961,35780
Chile,CHL,1962,28550
Chile,CHL,1963,49390
Chile,CHL,1964,56230
Chile,CHL,1965,71935
Chile,CHL,1966,77103
Chile,CHL,1967,60710
Chile,CHL,1968,47949
Chile,CHL,1969,63622
Chile,CHL,1970,69947
Chile,CHL,1971,82147
Chile,CHL,1972,77950
Chile,CHL,1973,40042
Chile,CHL,1974,34800
Chile,CHL,1975,61393
Chile,CHL,1976,104840
Chile,CHL,1977,82680
Chile,CHL,1978,52020
Chile,CHL,1979,64630
Chile,CHL,1980,73470
Chile,CHL,1981,26890
Chile,CHL,1982,13220
Chile,CHL,1983,2942
Chile,CHL,1984,4090
Chile,CHL,1985,31912
Chile,CHL,1986,97103
Chile,CHL,1987,95139
Chile,CHL,1988,122591
Chile,CHL,1989,112913
Chile,CHL,1990,53199
Chile,CHL,1991,57680
Chile,CHL,1992,61709
Chile,CHL,1993,20867
Chile,CHL,1994,22719
Chile,CHL,1995,26353
Chile,CHL,1996,34446
Chile,CHL,1997,30407
Chile,CHL,1998,51961
Chile,CHL,1999,71712
Chile,CHL,2000,47730
Chile,CHL,2001,67370
Chile,CHL,2002,3500
Chile,CHL,2003,19541
Chile,CHL,2004,18500
Chile,CHL,2005,44000
Chile,CHL,2006,47200
Chile,CHL,2007,40908
Chile,CHL,2008,66590
Chile,CHL,2009,78501
Chile,CHL,2010,43934
Chile,CHL,2011,71466
Chile,CHL,2012,113643
Chile,CHL,2013,155877
Chile,CHL,2014,136331
Chile,CHL,2015,201480
Chile,CHL,2016,212016
Chile,CHL,2017,183191
Chile,CHL,2018,219781
Chile,CHL,2019,185318
Chile,CHL,2020,153533
China,CHN,1961,380000
China,CHN,1962,488000
China,CHN,1963,518000
China,CHN,1964,939000
China,CHN,1965,1089000
China,CHN,1966,906000
China,CHN,1967,1007000
China,CHN,1968,905000
China,CHN,1969,878000
China,CHN,1970,965000
China,CHN,1971,1233000
China,CHN,1972,1397000
China,CHN,1973,1353000
China,CHN,1974,1382000
China,CHN,1975,1535000
China,CHN,1976,1348000
China,CHN,1977,1170000
China,CHN,1978,1868000
China,CHN,1979,2402000
China,CHN,1980,2384000
China,CHN,1981,4065000
China,CHN,1982,5656000
China,CHN,1983,4287000
China,CHN,1984,4205000
China,CHN,1985,5606966
China,CHN,1986,5881000
China,CHN,1987,6605000
China,CHN,1988,5044341
China,CHN,1989,5436193
China,CHN,1990,6958141
China,CHN,1991,7436000
China,CHN,1992,7653000
China,CHN,1993,6939000
China,CHN,1994,7491900
China,CHN,1995,9777000
China,CHN,1996,9201122
China,CHN,1997,9544000
China,CHN,1998,8300525
China,CHN,1999,10132000
China,CHN,2000,11380579
China,CHN,2001,11331445
China,CHN,2002,10552249
China,CHN,2003,11420000
China,CHN,2004,13182000
China,CHN,2005,13052255
China,CHN,2006,10966000
China,CHN,2007,10572561
China,CHN,2008,12101700
China,CHN,2009,13657000
China,CHN,2010,13082000
China,CHN,2011,13426000
China,CHN,2012,14007307
China,CHN,2013,14458015
China,CHN,2014,14772200
China,CHN,2015,13859000
China,CHN,2016,13128000
China,CHN,2017,13274100
China,CHN,2018,13281200
China,CHN,2019,13484700
China,CHN,2020,14000000
China (FAO),,1961,388005
China (FAO),,1962,497994
China (FAO),,1963,531072
China (FAO),,1964,966343
China (FAO),,1965,1111908
China (FAO),,1966,914351
China (FAO),,1967,1011931
China (FAO),,1968,908545
China (FAO),,1969,880718
China (FAO),,1970,967421
China (FAO),,1971,1234720
China (FAO),,1972,1399430
China (FAO),,1973,1354709
China (FAO),,1974,1383383
China (FAO),,1975,1539499
China (FAO),,1976,1352604
China (FAO),,1977,1173295
China (FAO),,1978,1871087
China (FAO),,1979,2404444
China (FAO),,1980,2386036
China (FAO),,1981,4066563
China (FAO),,1982,5657334
China (FAO),,1983,4287921
China (FAO),,1984,4205653
China (FAO),,1985,5607457
China (FAO),,1986,5881530
China (FAO),,1987,6605327
China (FAO),,1988,5044476
China (FAO),,1989,5436218
China (FAO),,1990,6958205
China (FAO),,1991,7436051
China (FAO),,1992,7653052
China (FAO),,1993,6939107
China (FAO),,1994,7492118
China (FAO),,1995,9777014
China (FAO),,1996,9201130
China (FAO),,1997,9544005
China (FAO),,1998,8300542
China (FAO),,1999,10132016
China (FAO),,2000,11380579
China (FAO),,2001,11331466
China (FAO),,2002,10552254
China (FAO),,2003,11420006
China (FAO),,2004,13182010
China (FAO),,2005,13052264
China (FAO),,2006,10966009
China (FAO),,2007,10572571
China (FAO),,2008,12101708
China (FAO),,2009,13657009
China (FAO),,2010,13082010
China (FAO),,2011,13426010
China (FAO),,2012,14007317
China (FAO),,2013,14458025
China (FAO),,2014,14772208
China (FAO),,2015,13859007
China (FAO),,2016,13128008
China (FAO),,2017,13274108
China (FAO),,2018,13281208
China (FAO),,2019,13484708
China (FAO),,2020,14000008
Colombia,COL,1987,2100
Colombia,COL,1988,1310
Colombia,COL,1989,430
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Croatia,HRV,1992,24183
Croatia,HRV,1993,28665
Croatia,HRV,1994,28341
Croatia,HRV,1995,24472
Croatia,HRV,1996,11661
Croatia,HRV,1997,11181
Croatia,HRV,1998,21967
Croatia,HRV,1999,32581
Croatia,HRV,2000,29436
Croatia,HRV,2001,22456
Croatia,HRV,2002,25585
Croatia,HRV,2003,28596
Croatia,HRV,2004,31392
Croatia,HRV,2005,41275
Croatia,HRV,2006,19996
Croatia,HRV,2007,39330
Croatia,HRV,2008,62942
Croatia,HRV,2009,80424
Croatia,HRV,2010,33047
Croatia,HRV,2011,49483
Croatia,HRV,2012,26406
Croatia,HRV,2013,47827
Croatia,HRV,2014,71228
Croatia,HRV,2015,56783
Croatia,HRV,2016,112990
Croatia,HRV,2017,135810
Croatia,HRV,2018,155840
Croatia,HRV,2019,103900
Croatia,HRV,2020,119670
Cyprus,CYP,2018,0
Czechia,CZE,1993,377233
Czechia,CZE,1994,451628
Czechia,CZE,1995,662176
Czechia,CZE,1996,520572
Czechia,CZE,1997,560509
Czechia,CZE,1998,680216
Czechia,CZE,1999,931053
Czechia,CZE,2000,844428
Czechia,CZE,2001,973321
Czechia,CZE,2002,709533
Czechia,CZE,2003,387805
Czechia,CZE,2004,934674
Czechia,CZE,2005,769377
Czechia,CZE,2006,880172
Czechia,CZE,2007,1031920
Czechia,CZE,2008,1048943
Czechia,CZE,2009,1128119
Czechia,CZE,2010,1042418
Czechia,CZE,2011,1046071
Czechia,CZE,2012,1109137
Czechia,CZE,2013,1443210
Czechia,CZE,2014,1537320
Czechia,CZE,2015,1256212
Czechia,CZE,2016,1359125
Czechia,CZE,2017,1146224
Czechia,CZE,2018,1410770
Czechia,CZE,2019,1156970
Czechia,CZE,2020,1245330
Czechoslovakia,OWID_CZS,1961,83870
Czechoslovakia,OWID_CZS,1962,48170
Czechoslovakia,OWID_CZS,1963,41474
Czechoslovakia,OWID_CZS,1964,46249
Czechoslovakia,OWID_CZS,1965,74383
Czechoslovakia,OWID_CZS,1966,77900
Czechoslovakia,OWID_CZS,1967,85004
Czechoslovakia,OWID_CZS,1968,72817
Czechoslovakia,OWID_CZS,1969,47677
Czechoslovakia,OWID_CZS,1970,62757
Czechoslovakia,OWID_CZS,1971,100644
Czechoslovakia,OWID_CZS,1972,106800
Czechoslovakia,OWID_CZS,1973,116774
Czechoslovakia,OWID_CZS,1974,93732
Czechoslovakia,OWID_CZS,1975,130990
Czechoslovakia,OWID_CZS,1976,133956
Czechoslovakia,OWID_CZS,1977,162135
Czechoslovakia,OWID_CZS,1978,165848
Czechoslovakia,OWID_CZS,1979,79944
Czechoslovakia,OWID_CZS,1980,214032
Czechoslovakia,OWID_CZS,1981,199560
Czechoslovakia,OWID_CZS,1982,178373
Czechoslovakia,OWID_CZS,1983,314225
Czechoslovakia,OWID_CZS,1984,299729
Czechoslovakia,OWID_CZS,1985,284752
Czechoslovakia,OWID_CZS,1986,305622
Czechoslovakia,OWID_CZS,1987,337238
Czechoslovakia,OWID_CZS,1988,380348
Czechoslovakia,OWID_CZS,1989,386643
Czechoslovakia,OWID_CZS,1990,380226
Czechoslovakia,OWID_CZS,1991,445640
Czechoslovakia,OWID_CZS,1992,430000
Denmark,DNK,1961,27038
Denmark,DNK,1962,52100
Denmark,DNK,1963,26361
Denmark,DNK,1964,52255
Denmark,DNK,1965,49931
Denmark,DNK,1966,33087
Denmark,DNK,1967,39184
Denmark,DNK,1968,29856
Denmark,DNK,1969,21133
Denmark,DNK,1970,22243
Denmark,DNK,1971,46029
Denmark,DNK,1972,50446
Denmark,DNK,1973,92304
Denmark,DNK,1974,111853
Denmark,DNK,1975,130561
Denmark,DNK,1976,81058
Denmark,DNK,1977,77336
Denmark,DNK,1978,91227
Denmark,DNK,1979,149759
Denmark,DNK,1980,196480
Denmark,DNK,1981,265701
Denmark,DNK,1982,335034
Denmark,DNK,1983,309315
Denmark,DNK,1984,473600
Denmark,DNK,1985,544000
Denmark,DNK,1986,618000
Denmark,DNK,1987,556000
Denmark,DNK,1988,504000
Denmark,DNK,1989,655000
Denmark,DNK,1990,793000
Denmark,DNK,1991,726000
Denmark,DNK,1992,406000
Denmark,DNK,1993,417000
Denmark,DNK,1994,370662
Denmark,DNK,1995,312437
Denmark,DNK,1996,251000
Denmark,DNK,1997,291000
Denmark,DNK,1998,358800
Denmark,DNK,1999,411090
Denmark,DNK,2000,293900
Denmark,DNK,2001,211577
Denmark,DNK,2002,218000
Denmark,DNK,2003,354200
Denmark,DNK,2004,468100
Denmark,DNK,2005,342200
Denmark,DNK,2006,434700
Denmark,DNK,2007,588600
Denmark,DNK,2008,629200
Denmark,DNK,2009,637400
Denmark,DNK,2010,579800
Denmark,DNK,2011,508300
Denmark,DNK,2012,484600
Denmark,DNK,2013,687655
Denmark,DNK,2014,708900
Denmark,DNK,2015,826000
Denmark,DNK,2016,506200
Denmark,DNK,2017,742300
Denmark,DNK,2018,489100
Denmark,DNK,2019,729000
Denmark,DNK,2020,560240
Eastern Africa (FAO),,1961,20000
Eastern Africa (FAO),,1962,20000
Eastern Africa (FAO),,1963,20000
Eastern Africa (FAO),,1964,20000
Eastern Africa (FAO),,1965,20000
Eastern Africa (FAO),,1966,20000
Eastern Africa (FAO),,1967,20000
Eastern Africa (FAO),,1968,20000
Eastern Africa (FAO),,1969,20000
Eastern Africa (FAO),,1970,20500
Eastern Africa (FAO),,1971,20500
Eastern Africa (FAO),,1972,20500
Eastern Africa (FAO),,1973,21000
Eastern Africa (FAO),,1974,21000
Eastern Africa (FAO),,1975,21000
Eastern Africa (FAO),,1976,20000
Eastern Africa (FAO),,1977,20000
Eastern Africa (FAO),,1978,18000
Eastern Africa (FAO),,1979,15000
Eastern Africa (FAO),,1980,7690
Eastern Africa (FAO),,1981,15150
Eastern Africa (FAO),,1982,15100
Eastern Africa (FAO),,1983,23630
Eastern Africa (FAO),,1984,15110
Eastern Africa (FAO),,1985,16010
Eastern Africa (FAO),,1986,19510
Eastern Africa (FAO),,1987,40990
Eastern Africa (FAO),,1988,63170
Eastern Africa (FAO),,1989,74030
Eastern Africa (FAO),,1990,78300
Eastern Africa (FAO),,1991,80000
Eastern Africa (FAO),,1992,81000
Eastern Africa (FAO),,1993,9000
Eastern Africa (FAO),,1994,9500
Eastern Africa (FAO),,1995,12714
Eastern Africa (FAO),,1996,40234
Eastern Africa (FAO),,1997,8694
Eastern Africa (FAO),,1998,9964
Eastern Africa (FAO),,1999,8417
Eastern Africa (FAO),,2000,13905
Eastern Africa (FAO),,2001,14736
Eastern Africa (FAO),,2002,16943
Eastern Africa (FAO),,2003,19850
Eastern Africa (FAO),,2004,29284
Eastern Africa (FAO),,2005,35838
Eastern Africa (FAO),,2006,24351
Eastern Africa (FAO),,2007,29206
Eastern Africa (FAO),,2008,47721
Eastern Africa (FAO),,2009,22628
Eastern Africa (FAO),,2010,19123
Eastern Africa (FAO),,2011,74666
Eastern Africa (FAO),,2012,72287
Eastern Africa (FAO),,2013,62448
Eastern Africa (FAO),,2014,53319
Eastern Africa (FAO),,2015,55043
Eastern Africa (FAO),,2016,43439
Eastern Africa (FAO),,2017,38076
Eastern Africa (FAO),,2018,38216
Eastern Africa (FAO),,2019,42046
Eastern Africa (FAO),,2020,12576
Eastern Asia (FAO),,1961,662767
Eastern Asia (FAO),,1962,750103
Eastern Asia (FAO),,1963,641786
Eastern Asia (FAO),,1964,1106096
Eastern Asia (FAO),,1965,1243429
Eastern Asia (FAO),,1966,1021111
Eastern Asia (FAO),,1967,1109000
Eastern Asia (FAO),,1968,997934
Eastern Asia (FAO),,1969,959899
Eastern Asia (FAO),,1970,1022591
Eastern Asia (FAO),,1971,1294393
Eastern Asia (FAO),,1972,1436152
Eastern Asia (FAO),,1973,1385431
Eastern Asia (FAO),,1974,1426392
Eastern Asia (FAO),,1975,1581435
Eastern Asia (FAO),,1976,1393951
Eastern Asia (FAO),,1977,1213129
Eastern Asia (FAO),,1978,1897590
Eastern Asia (FAO),,1979,2431820
Eastern Asia (FAO),,1980,2416652
Eastern Asia (FAO),,1981,4096086
Eastern Asia (FAO),,1982,5681511
Eastern Asia (FAO),,1983,4299396
Eastern Asia (FAO),,1984,4216841
Eastern Asia (FAO),,1985,5616392
Eastern Asia (FAO),,1986,5890331
Eastern Asia (FAO),,1987,6615100
Eastern Asia (FAO),,1988,5053736
Eastern Asia (FAO),,1989,5444781
Eastern Asia (FAO),,1990,6966712
Eastern Asia (FAO),,1991,7442784
Eastern Asia (FAO),,1992,7657698
Eastern Asia (FAO),,1993,6943170
Eastern Asia (FAO),,1994,7497142
Eastern Asia (FAO),,1995,9782067
Eastern Asia (FAO),,1996,9204076
Eastern Asia (FAO),,1997,9546070
Eastern Asia (FAO),,1998,8302694
Eastern Asia (FAO),,1999,10134744
Eastern Asia (FAO),,2000,11383966
Eastern Asia (FAO),,2001,11334414
Eastern Asia (FAO),,2002,10553964
Eastern Asia (FAO),,2003,11421889
Eastern Asia (FAO),,2004,13184402
Eastern Asia (FAO),,2005,13054880
Eastern Asia (FAO),,2006,10978748
Eastern Asia (FAO),,2007,10581790
Eastern Asia (FAO),,2008,12108933
Eastern Asia (FAO),,2009,13663613
Eastern Asia (FAO),,2010,13096232
Eastern Asia (FAO),,2011,13435532
Eastern Asia (FAO),,2012,14031422
Eastern Asia (FAO),,2013,14502594
Eastern Asia (FAO),,2014,14826900
Eastern Asia (FAO),,2015,13886312
Eastern Asia (FAO),,2016,13154118
Eastern Asia (FAO),,2017,13292641
Eastern Asia (FAO),,2018,13309249
Eastern Asia (FAO),,2019,13523651
Eastern Asia (FAO),,2020,14027102
Eastern Europe (FAO),,1961,395754
Eastern Europe (FAO),,1962,438581
Eastern Europe (FAO),,1963,280325
Eastern Europe (FAO),,1964,326080
Eastern Europe (FAO),,1965,602217
Eastern Europe (FAO),,1966,545816
Eastern Europe (FAO),,1967,759893
Eastern Europe (FAO),,1968,600606
Eastern Europe (FAO),,1969,277700
Eastern Europe (FAO),,1970,681012
Eastern Europe (FAO),,1971,776773
Eastern Europe (FAO),,1972,600295
Eastern Europe (FAO),,1973,720526
Eastern Europe (FAO),,1974,685024
Eastern Europe (FAO),,1975,948779
Eastern Europe (FAO),,1976,1210396
Eastern Europe (FAO),,1977,976307
Eastern Europe (FAO),,1978,988115
Eastern Europe (FAO),,1979,372388
Eastern Europe (FAO),,1980,917755
Eastern Europe (FAO),,1981,813658
Eastern Europe (FAO),,1982,756956
Eastern Europe (FAO),,1983,1053196
Eastern Europe (FAO),,1984,1414066
Eastern Europe (FAO),,1985,1551545
Eastern Europe (FAO),,1986,1848603
Eastern Europe (FAO),,1987,1935289
Eastern Europe (FAO),,1988,2094090
Eastern Europe (FAO),,1989,2512353
Eastern Europe (FAO),,1990,2208769
Eastern Europe (FAO),,1991,1997348
Eastern Europe (FAO),,1992,1506109
Eastern Europe (FAO),,1993,1217715
Eastern Europe (FAO),,1994,1520291
Eastern Europe (FAO),,1995,2472426
Eastern Europe (FAO),,1996,1435328
Eastern Europe (FAO),,1997,1687167
Eastern Europe (FAO),,1998,2246410
Eastern Europe (FAO),,1999,3087620
Eastern Europe (FAO),,2000,2566108
Eastern Europe (FAO),,2001,2950226
Eastern Europe (FAO),,2002,2407805
Eastern Europe (FAO),,2003,1666636
Eastern Europe (FAO),,2004,3811533
Eastern Europe (FAO),,2005,3648324
Eastern Europe (FAO),,2006,4582648
Eastern Europe (FAO),,2007,6375302
Eastern Europe (FAO),,2008,9372472
Eastern Europe (FAO),,2009,8616346
Eastern Europe (FAO),,2010,8171343
Eastern Europe (FAO),,2011,7863800
Eastern Europe (FAO),,2012,6943482
Eastern Europe (FAO),,2013,10386634
Eastern Europe (FAO),,2014,11882520
Eastern Europe (FAO),,2015,9357969
Eastern Europe (FAO),,2016,9193925
Eastern Europe (FAO),,2017,11755582
Eastern Europe (FAO),,2018,12369047
Eastern Europe (FAO),,2019,11987043
Eastern Europe (FAO),,2020,12522977
Eritrea and Ethiopia,OWID_ERE,1961,20000
Eritrea and Ethiopia,OWID_ERE,1962,20000
Eritrea and Ethiopia,OWID_ERE,1963,20000
Eritrea and Ethiopia,OWID_ERE,1964,20000
Eritrea and Ethiopia,OWID_ERE,1965,20000
Eritrea and Ethiopia,OWID_ERE,1966,20000
Eritrea and Ethiopia,OWID_ERE,1967,20000
Eritrea and Ethiopia,OWID_ERE,1968,20000
Eritrea and Ethiopia,OWID_ERE,1969,20000
Eritrea and Ethiopia,OWID_ERE,1970,20500
Eritrea and Ethiopia,OWID_ERE,1971,20500
Eritrea and Ethiopia,OWID_ERE,1972,20500
Eritrea and Ethiopia,OWID_ERE,1973,21000
Eritrea and Ethiopia,OWID_ERE,1974,21000
Eritrea and Ethiopia,OWID_ERE,1975,21000
Eritrea and Ethiopia,OWID_ERE,1976,20000
Eritrea and Ethiopia,OWID_ERE,1977,20000
Eritrea and Ethiopia,OWID_ERE,1978,18000
Eritrea and Ethiopia,OWID_ERE,1979,15000
Eritrea and Ethiopia,OWID_ERE,1980,7690
Eritrea and Ethiopia,OWID_ERE,1981,15150
Eritrea and Ethiopia,OWID_ERE,1982,15100
Eritrea and Ethiopia,OWID_ERE,1983,23630
Eritrea and Ethiopia,OWID_ERE,1984,15110
Eritrea and Ethiopia,OWID_ERE,1985,16010
Eritrea and Ethiopia,OWID_ERE,1986,19510
Eritrea and Ethiopia,OWID_ERE,1987,40990
Eritrea and Ethiopia,OWID_ERE,1988,63170
Eritrea and Ethiopia,OWID_ERE,1989,74030
Eritrea and Ethiopia,OWID_ERE,1990,78300
Eritrea and Ethiopia,OWID_ERE,1991,80000
Eritrea and Ethiopia,OWID_ERE,1992,81000
Estonia,EST,1992,2334
Estonia,EST,1993,1727
Estonia,EST,1994,2167
Estonia,EST,1995,7025
Estonia,EST,1996,10007
Estonia,EST,1997,9614
Estonia,EST,1998,17900
Estonia,EST,1999,29800
Estonia,EST,2000,38598
Estonia,EST,2001,41300
Estonia,EST,2002,63865
Estonia,EST,2003,69235
Estonia,EST,2004,68598
Estonia,EST,2005,83067
Estonia,EST,2006,84609
Estonia,EST,2007,133340
Estonia,EST,2008,111149
Estonia,EST,2009,135992
Estonia,EST,2010,131022
Estonia,EST,2011,144194
Estonia,EST,2012,157816
Estonia,EST,2013,174028
Estonia,EST,2014,166495
Estonia,EST,2015,196300
Estonia,EST,2016,102481
Estonia,EST,2017,165270
Estonia,EST,2018,113590
Estonia,EST,2019,191370
Estonia,EST,2020,202950
Ethiopia,ETH,1993,9000
Ethiopia,ETH,1994,9500
Ethiopia,ETH,1995,12714
Ethiopia,ETH,1996,40234
Ethiopia,ETH,1997,8694
Ethiopia,ETH,1998,9964
Ethiopia,ETH,1999,8417
Ethiopia,ETH,2000,13905
Ethiopia,ETH,2001,14736
Ethiopia,ETH,2002,16943
Ethiopia,ETH,2003,19850
Ethiopia,ETH,2004,29284
Ethiopia,ETH,2005,35838
Ethiopia,ETH,2006,24351
Ethiopia,ETH,2007,29206
Ethiopia,ETH,2008,47721
Ethiopia,ETH,2009,22628
Ethiopia,ETH,2010,19123
Ethiopia,ETH,2011,74666
Ethiopia,ETH,2012,72287
Ethiopia,ETH,2013,62448
Ethiopia,ETH,2014,53319
Ethiopia,ETH,2015,55043
Ethiopia,ETH,2016,43439
Ethiopia,ETH,2017,38076
Ethiopia,ETH,2018,38216
Ethiopia,ETH,2019,42046
Ethiopia,ETH,2020,12576
Europe,,1961,948474
Europe,,1962,1122555
Europe,,1963,817202
Europe,,1964,1150491
Europe,,1965,1587673
Europe,,1966,1367651
Europe,,1967,1967649
Europe,,1968,1884119
Europe,,1969,1416643
Europe,,1970,1964149
Europe,,1971,2296806
Europe,,1972,2293769
Europe,,1973,2419792
Europe,,1974,2592620
Europe,,1975,2649350
Europe,,1976,2918950
Europe,,1977,2613689
Europe,,1978,3035904
Europe,,1979,2268537
Europe,,1980,3770084
Europe,,1981,3618654
Europe,,1982,4354037
Europe,,1983,4442973
Europe,,1984,5866787
Europe,,1985,6312444
Europe,,1986,6656092
Europe,,1987,8802421
Europe,,1988,8335208
Europe,,1989,8708862
Europe,,1990,9208256
Europe,,1991,9977014
Europe,,1992,8307384
Europe,,1993,7928503
Europe,,1994,8610176
Europe,,1995,10712616
Europe,,1996,8636428
Europe,,1997,10469356
Europe,,1998,11892489
Europe,,1999,14729319
Europe,,2000,11749606
Europe,,2001,12035115
Europe,,2002,12028487
Europe,,2003,11472498
Europe,,2004,16149580
Europe,,2005,16508529
Europe,,2006,17469110
Europe,,2007,20517046
Europe,,2008,23347972
Europe,,2009,24824472
Europe,,2010,23262807
Europe,,2011,22214778
Europe,,2012,22274502
Europe,,2013,25449793
Europe,,2014,28767435
Europe,,2015,25138023
Europe,,2016,22700712
Europe,,2017,26471429
Europe,,2018,25439913
Europe,,2019,23212978
Europe,,2020,23700399
Europe (FAO),,1961,948632
Europe (FAO),,1962,1122868
Europe (FAO),,1963,817313
Europe (FAO),,1964,1150605
Europe (FAO),,1965,1587864
Europe (FAO),,1966,1367787
Europe (FAO),,1967,1968831
Europe (FAO),,1968,1885756
Europe (FAO),,1969,1417833
Europe (FAO),,1970,1965463
Europe (FAO),,1971,2298560
Europe (FAO),,1972,2296984
Europe (FAO),,1973,2422283
Europe (FAO),,1974,2594049
Europe (FAO),,1975,2650374
Europe (FAO),,1976,2919508
Europe (FAO),,1977,2614853
Europe (FAO),,1978,3037180
Europe (FAO),,1979,2269801
Europe (FAO),,1980,3771781
Europe (FAO),,1981,3621065
Europe (FAO),,1982,4359833
Europe (FAO),,1983,4454152
Europe (FAO),,1984,5879383
Europe (FAO),,1985,6319493
Europe (FAO),,1986,6665665
Europe (FAO),,1987,8817368
Europe (FAO),,1988,8348048
Europe (FAO),,1989,8724410
Europe (FAO),,1990,9229704
Europe (FAO),,1991,10008287
Europe (FAO),,1992,8326392
Europe (FAO),,1993,7946996
Europe (FAO),,1994,8633060
Europe (FAO),,1995,10738616
Europe (FAO),,1996,8663428
Europe (FAO),,1997,10495356
Europe (FAO),,1998,11921489
Europe (FAO),,1999,14768319
Europe (FAO),,2000,11749606
Europe (FAO),,2001,12035115
Europe (FAO),,2002,12028487
Europe (FAO),,2003,11472498
Europe (FAO),,2004,16149580
Europe (FAO),,2005,16508529
Europe (FAO),,2006,17469110
Europe (FAO),,2007,20517046
Europe (FAO),,2008,23347972
Europe (FAO),,2009,24824472
Europe (FAO),,2010,23262807
Europe (FAO),,2011,22214778
Europe (FAO),,2012,22274502
Europe (FAO),,2013,25449793
Europe (FAO),,2014,28767435
Europe (FAO),,2015,25138023
Europe (FAO),,2016,22700712
Europe (FAO),,2017,26471429
Europe (FAO),,2018,25439913
Europe (FAO),,2019,23212978
Europe (FAO),,2020,23700399
European Union (27),,1961,819164
European Union (27),,1962,1037150
European Union (27),,1963,750426
European Union (27),,1964,1079210
European Union (27),,1965,1479350
European Union (27),,1966,1253771
European Union (27),,1967,1820798
European Union (27),,1968,1749524
European Union (27),,1969,1321625
European Union (27),,1970,1855823
European Union (27),,1971,2135029
European Union (27),,1972,2125174
European Union (27),,1973,2223800
European Union (27),,1974,2386540
European Union (27),,1975,2409441
European Union (27),,1976,2598425
European Union (27),,1977,2227333
European Union (27),,1978,2594219
European Union (27),,1979,1852287
European Union (27),,1980,3129918
European Union (27),,1981,2955361
European Union (27),,1982,3419986
European Union (27),,1983,3347826
European Union (27),,1984,4403620
European Union (27),,1985,4884888
European Union (27),,1986,5107976
European Union (27),,1987,6667703
European Union (27),,1988,6367675
European Union (27),,1989,6822097
European Union (27),,1990,6939327
European Union (27),,1991,7766755
European Union (27),,1992,6332447
European Union (27),,1993,6613319
European Union (27),,1994,7151894
European Union (27),,1995,9210970
European Union (27),,1996,6957847
European Union (27),,1997,8692881
European Union (27),,1998,10015474
European Union (27),,1999,12593641
European Union (27),,2000,10171360
European Union (27),,2001,10463344
European Union (27),,2002,10247708
European Union (27),,2003,9335014
European Union (27),,2004,13894448
European Union (27),,2005,13793720
European Union (27),,2006,14251863
European Union (27),,2007,16353152
European Union (27),,2008,17014116
European Union (27),,2009,19570535
European Union (27),,2010,18364704
European Union (27),,2011,16486005
European Union (27),,2012,16699298
European Union (27),,2013,18852781
European Union (27),,2014,21829547
European Union (27),,2015,19310511
European Union (27),,2016,18340336
European Union (27),,2017,19776303
European Union (27),,2018,17916570
European Union (27),,2019,15288880
European Union (27),,2020,16575050
European Union (27) (FAO),,1961,819322
European Union (27) (FAO),,1962,1037463
European Union (27) (FAO),,1963,750537
European Union (27) (FAO),,1964,1079324
European Union (27) (FAO),,1965,1479541
European Union (27) (FAO),,1966,1253907
European Union (27) (FAO),,1967,1821980
European Union (27) (FAO),,1968,1751161
European Union (27) (FAO),,1969,1322815
European Union (27) (FAO),,1970,1857137
European Union (27) (FAO),,1971,2136783
European Union (27) (FAO),,1972,2128389
European Union (27) (FAO),,1973,2226291
European Union (27) (FAO),,1974,2387969
European Union (27) (FAO),,1975,2410465
European Union (27) (FAO),,1976,2598983
European Union (27) (FAO),,1977,2228497
European Union (27) (FAO),,1978,2595495
European Union (27) (FAO),,1979,1853551
European Union (27) (FAO),,1980,3131615
European Union (27) (FAO),,1981,2957772
European Union (27) (FAO),,1982,3425782
European Union (27) (FAO),,1983,3359005
European Union (27) (FAO),,1984,4416216
European Union (27) (FAO),,1985,4891937
European Union (27) (FAO),,1986,5117549
European Union (27) (FAO),,1987,6682650
European Union (27) (FAO),,1988,6380515
European Union (27) (FAO),,1989,6837645
European Union (27) (FAO),,1990,6960775
European Union (27) (FAO),,1991,7798028
European Union (27) (FAO),,1992,6351455
European Union (27) (FAO),,1993,6631812
European Union (27) (FAO),,1994,7174778
European Union (27) (FAO),,1995,9236970
European Union (27) (FAO),,1996,6984847
European Union (27) (FAO),,1997,8718881
